iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
KEN,Africa,Kenya,02/05/21,160422,369,519.286,2763,19,20.143,2983.413,6.862,9.657,51.384,0.353,0.375,0.77,,,,,,,,,1779,1664435,30.954,0.033,5682,0.106,0.11,9.1,samples tested,853081,853081,,,14659,1.59,1.59,,273,73.15,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
KWT,Asia,Kuwait,02/05/21,276586,1316,1376.714,1578,9,8.857,64765.7,308.156,322.373,369.506,2.107,2.074,1,,,,,,,,,9670,2307415,540.307,2.264,8754,2.05,0.161,6.2,tests performed,1000000,,,,20000,23.42,,,4683,70.37,4270563,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806
KGZ,Asia,Kyrgyzstan,02/05/21,96060,308,318.429,1619,7,5.286,14723.665,47.209,48.807,248.153,1.073,0.81,1.24,,,,,,,,,,,,,,,,,,27858,27000,858,,1610,0.43,0.41,0.01,247,54.63,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
LVA,Europe,Latvia,02/05/21,119750,380,633.429,2144,5,6,63487.368,201.463,335.822,1136.676,2.651,3.181,1.09,,,594,314.919,125.57,66.573,,,16474,2245899,1190.699,8.734,13858,7.347,0.044,22.6,tests performed,316955,263964,53147,1383,7746,16.8,13.99,2.82,4107,56.48,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866
LBN,Asia,Lebanon,02/05/21,528208,700,1038.429,7324,22,26,77388.102,102.557,152.141,1073.044,3.223,3.809,0.75,,,,,,,,,,,,,,,,,,465909,294945,170964,4151,7192,6.83,4.32,2.5,1054,74.07,6825442,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
LSO,Africa,Lesotho,02/05/21,10733,2,0.714,318,2,0.286,5010.148,0.934,0.333,148.442,0.934,0.133,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
LBR,Africa,Liberia,02/05/21,2099,0,0.286,85,0,0,415.013,0,0.056,16.806,0,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,43.52,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
LBY,Africa,Libya,02/05/21,177871,363,369.286,3039,10,6.143,25886.126,52.829,53.743,442.275,1.455,0.894,0.84,,,,,,,,,2081,,,0.303,,,,,samples tested,,,,,,,,,,79.63,6871287,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
LTU,Europe,Lithuania,02/05/21,249680,1025,1197.571,3950,13,14.571,91716.866,376.521,439.913,1450.984,4.775,5.353,1.09,,,1164,427.581,75.996,27.916,298.137,109.517,19771,2797229,1027.528,7.263,17941,6.59,0.061,16.4,tests performed,995557,691403,304154,556,16479,36.57,25.4,11.17,6053,38.89,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882
LUX,Europe,Luxembourg,02/05/21,67205,0,171.143,796,0,0.857,107360.346,0,273.402,1271.614,0,1.369,0.98,37,59.108,94,150.166,,,,,9418,2652698,4237.699,15.045,7688,12.282,0.023,44,tests performed,191419,140495,50924,4939,2609,30.58,22.44,8.14,4168,53.7,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916
MDG,Africa,Madagascar,02/05/21,37630,334,269.143,666,12,9.571,1358.924,12.062,9.719,24.051,0.433,0.346,0.9,,,,,,,,,1862,181638,6.559,0.067,1318,0.048,0.316,3.2,tests performed,,,,,,,,,,62.04,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
MWI,Africa,Malawi,02/05/21,34096,1,11.429,1148,0,0.143,1782.336,0.052,0.597,60.011,0,0.007,0.86,,,,,,,,,,,,,,,,,,296127,296127,,5783,3757,1.55,1.55,,196,45.37,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
MYS,Asia,Malaysia,02/05/21,415012,3418,3152.857,1533,12,13.857,12822.469,105.605,97.413,47.365,0.371,0.428,1.21,,,,,,,,,78276,9333787,288.382,2.418,69169,2.137,0.042,23.9,people tested,1453382,898094,555288,5316,23281,4.49,2.77,1.72,719,61.57,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81
MDV,Asia,Maldives,02/05/21,30745,508,410.143,74,1,0.429,56878.096,939.797,758.762,136.9,1.85,0.793,1.49,,,,,,,,,2556,734038,1357.967,4.729,3359,6.214,0.097,10.3,samples tested,399550,296961,102589,5285,4486,73.92,54.94,18.98,8299,,540542,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74
MLI,Africa,Mali,02/05/21,13915,19,41.143,489,4,3.143,687.132,0.938,2.032,24.147,0.198,0.155,0.73,,,,,,,,,,,,,,,,,,49903,49903,,,1821,0.25,0.25,,90,48.15,20250834,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
MLT,Europe,Malta,02/05/21,30319,12,20.714,416,1,0.429,68666.641,27.178,46.914,942.159,2.265,0.971,0.64,,,,,2.574,5.83,11.155,25.264,2040,865521,1960.237,4.62,1748,3.959,0.015,68,tests performed,339727,231511,108216,3879,4024,76.94,52.43,24.51,9114,67.59,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
MRT,Africa,Mauritania,02/05/21,18448,19,27.286,455,0,0.143,3967.602,4.086,5.868,97.857,0,0.031,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,33.33,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546
MUS,Africa,Mauritius,02/05/21,1211,0,0.714,17,0,0.143,952.218,0,0.562,13.367,0,0.112,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
MEX,North America,Mexico,02/05/21,2348873,1093,2926,217233,65,326.571,18217.815,8.477,22.694,1684.855,0.504,2.533,0.92,,,,,,,,,7941,6178248,47.918,0.062,12372,0.096,0.175,5.7,people tested,18326726,12572997,7650150,246721,273813,14.21,9.75,5.93,2124,44.44,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
MDA,Europe,Moldova,02/05/21,251335,175,313.714,5838,12,15.429,62304.736,43.382,77.768,1447.212,2.975,3.825,0.65,,,,,,,,,,,,,,,,,,147315,130218,17097,2198,3866,3.65,3.23,0.42,958,68.52,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
MNG,Asia,Mongolia,02/05/21,39381,2096,1148.857,119,4,5.571,12012.658,639.357,350.444,36.299,1.22,1.699,1.25,,,,,,,,,12715,2675590,816.154,3.879,11890,3.627,0.099,10.1,samples tested,1398592,947529,451063,102054,75148,42.66,28.9,13.76,22923,96.3,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
MNE,Europe,Montenegro,02/05/21,97619,102,137,1505,3,5.714,155428.923,162.404,218.131,2396.26,4.777,9.098,0.85,,,,,,,,,,,,,,,,,,63064,40215,22849,1319,537,10.04,6.4,3.64,855,,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829
MAR,Africa,Morocco,02/05/21,511856,294,356.143,9028,2,5.143,13867.468,7.965,9.649,244.591,0.054,0.139,0.81,,,,,,,,,8994,5742207,155.571,0.244,7778,0.211,0.054,18.5,people tested,9315844,5055239,4260605,790,53046,25.24,13.7,11.54,1437,71.3,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
MOZ,Africa,Mozambique,02/05/21,69984,19,45.571,815,1,1.143,2239.099,0.608,1.458,26.075,0.032,0.037,0.78,,,,,,,,,1903,517018,16.542,0.061,1206,0.039,0.04,24.8,units unclear,,,,,,,,,,65.74,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
MMR,Asia,Myanmar,02/05/21,142838,7,18,3209,0,0.429,2625.226,0.129,0.331,58.978,0,0.008,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
NAM,Africa,Namibia,02/05/21,48654,0,125.429,643,0,2.571,19148.213,0,49.364,253.058,0,1.012,1.04,,,,,,,,,1961,384768,151.429,0.772,1404,0.553,0.124,8,samples tested,20005,18837,1168,283,1967,0.79,0.74,0.05,774,,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
NPL,Asia,Nepal,02/05/21,336030,7137,5130.143,3325,27,23,11532.835,244.948,176.071,114.117,0.927,0.789,1.97,,,,,,,,,13879,2445968,83.948,0.476,10938,0.375,0.299,3.3,tests performed,2091511,2091511,,40071,17858,7.18,7.18,,613,30.56,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
NLD,Europe,Netherlands,02/05/21,1534264,5511,6865.571,17425,4,20.571,89540.436,321.625,400.678,1016.932,0.233,1.201,0.91,841,49.081,1691,98.688,368.141,21.485,1634.978,95.418,,8861243,517.147,,32888,1.919,0.1,10,people tested,5265860,3880412,,89850,56034,30.73,22.65,,3270,71.3,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
NZL,Oceania,New Zealand,02/05/21,2622,4,3,26,0,0,543.732,0.829,0.622,5.392,0,0,1,,,,,,,,,5306,2018845,418.654,1.1,3734,0.774,0.001,1967.7,tests performed,232588,172564,60024,9364,6854,4.82,3.58,1.24,1421,22.22,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
NIC,North America,Nicaragua,02/05/21,6898,0,9,182,0,0.143,1041.278,0,1.359,27.474,0,0.022,0.09,,,,,,,,,,,,,,,,,,135130,135130,,,7350,2.04,2.04,,1110,13.89,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
NER,Africa,Niger,02/05/21,5251,22,8.571,191,0,0,216.924,0.909,0.354,7.89,0,0,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
NGA,Africa,Nigeria,02/05/21,165153,43,62,2063,0,0.143,801.171,0.209,0.301,10.008,0,0.001,0.85,,,,,,,,,,1912628,9.278,,5959,0.029,0.011,92.1,samples tested,1229733,1229733,,7624,8317,0.6,0.6,,40,47.22,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
MKD,Europe,North Macedonia,02/05/21,152685,104,299.571,4936,45,37,73287.158,49.919,143.791,2369.227,21.6,17.76,0.59,,,,,,,,,2453,718015,344.639,1.177,2557,1.227,0.165,6.1,tests performed,61603,61603,,2733,2031,2.96,2.96,,975,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774
NOR,Europe,Norway,02/05/21,113469,210,408.143,756,0,2.857,20930.444,38.737,75.286,139.451,0,0.527,0.85,,,200,36.892,24.24,4.471,133.32,24.592,20646,5102342,941.176,3.808,18075,3.334,0.024,41.9,people tested,1700785,1343500,357285,64674,27420,31.37,24.78,6.59,5058,65.74,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
OMN,Asia,Oman,02/05/21,195807,2554,998.714,2043,33,9.429,38343.743,500.135,195.572,400.069,6.462,1.846,1.12,,,,,,,,,,,,,,,,,,315691,253000,62691,8236,10124,6.18,4.95,1.23,1983,80.56,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
PAK,Asia,Pakistan,02/05/21,834146,4213,4813.429,18149,79,137.429,3776.256,19.073,21.791,82.162,0.358,0.622,1.02,,,,,,,,,49099,11788126,53.366,0.222,50984,0.231,0.102,9.8,tests performed,,,,,,,,,,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
PSE,Asia,Palestine,02/05/21,297638,1176,952.286,3272,23,15,58344.193,230.524,186.671,641.391,4.509,2.94,0.54,,,,,,,,,4957,,,0.972,4877,0.956,0.232,4.3,tests performed,213989,170109,43880,496,4340,4.19,3.33,0.86,851,71.3,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708
