iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
THA,Asia,Thailand,02/05/21,68984,1940,1932,245,21,15,988.31,27.794,27.679,3.51,0.301,0.215,1.23,,,,,,,,,60262,4351770,62.346,0.863,66681,0.955,0.035,28.6,tests performed,1486907,1099460,387447,2342,48177,2.13,1.58,0.56,690,56.48,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
TLS,Asia,Timor,02/05/21,2444,168,78.143,4,1,0.143,1853.703,127.423,59.269,3.034,0.758,0.108,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,87.04,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
TGO,Africa,Togo,02/05/21,13010,18,31.857,123,0,0.286,1571.496,2.174,3.848,14.857,0,0.035,0.81,,,,,,,,,925,309090,37.335,0.112,837,0.101,0.04,25.1,tests performed,,,,,,,,,,48.15,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
TTO,North America,Trinidad and Tobago,02/05/21,11313,241,233.857,174,3,2.143,8083.653,172.205,167.102,124.331,2.144,1.531,1.76,,,,,,,,,3295,129781,92.734,2.354,925,0.661,0.147,6.8,people tested,42455,42455,,0,1157,3.03,3.03,,827,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796
TUN,Africa,Tunisia,02/05/21,311743,1009,1628.714,10868,60,80.571,26377.28,85.374,137.809,919.566,5.077,6.817,1.03,,,,,,,,,6434,1298972,109.909,0.544,7080,0.599,0.264,3.8,people tested,400364,305484,94880,28281,13393,3.39,2.58,0.8,1133,72.22,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
TUR,Asia,Turkey,02/05/21,4875388,25980,35059.857,40844,340,355.143,57806.995,308.042,415.701,484.283,4.031,4.211,0.73,,,,,,,,,278108,46996712,557.235,3.297,279430,3.313,0.147,6.8,tests performed,23006734,13800405,9206329,107688,267967,27.28,16.36,10.92,3177,83.33,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
UGA,Africa,Uganda,02/05/21,41905,0,35.714,342,0,0.143,916.137,0,0.781,7.477,0,0.003,1.21,,,,,,,,,2487,1012558,22.137,0.054,1967,0.043,0.023,43.7,samples tested,339607,339607,,8727,9043,0.74,0.74,,198,52.78,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
UKR,Europe,Ukraine,02/05/21,2137959,5217,8394.143,46447,166,332.286,48885.782,119.29,191.937,1062.04,3.796,7.598,0.74,,,,,,,,,41388,9418779,215.366,0.946,41168,0.941,0.243,4.1,tests performed,755391,755101,290,177,32480,1.73,1.73,0,743,69.44,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
ARE,Asia,United Arab Emirates,02/05/21,523795,1847,1865.286,1593,2,3.143,52959.941,186.747,188.596,161.065,0.202,0.318,0.97,,,,,,,,,193693,43310259,4379.02,19.584,116266,11.755,0.016,60.8,tests performed,10634693,5081853,3836521,24743,59835,107.53,51.38,38.79,6050,56.48,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
GBR,Europe,United Kingdom,02/05/21,4435831,1674,2198.286,127796,14,16.429,65342.35,24.659,32.382,1882.509,0.206,0.242,0.9,185,2.725,1451,21.374,,,292,4.301,1360719,151516625,2231.927,20.044,1081067,15.925,0.002,463.6,tests performed,49834997,34505380,15329617,515479,503641,73.41,50.83,22.58,7419,61.11,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932
USA,North America,United States,02/05/21,32421641,29367,49209,577045,323,669.429,97949.794,88.721,148.666,1743.324,0.976,2.022,0.88,9180,27.734,34905,105.452,,,30432,91.939,442567,413502739,1249.243,1.337,924887,2.794,0.058,17.2,tests performed,245591469,147047012,104774652,2127998,2418580,73.43,43.97,31.33,7232,56.94,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
URY,South America,Uruguay,02/05/21,202492,1584,2518.143,2724,55,56.857,58292.433,455.994,724.911,784.172,15.833,16.368,0.93,,,,,,,,,14347,1789328,515.103,4.13,14106,4.061,0.201,5,tests performed,1834409,1165904,668505,210,33146,52.81,33.56,19.24,9542,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817
UZB,Asia,Uzbekistan,02/05/21,91643,393,373.714,652,2,1.286,2738.129,11.742,11.166,19.481,0.06,0.038,1.2,,,,,,,,,,,,,,,,,,600369,600369,,,20259,1.79,1.79,,605,23.15,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72
VUT,Oceania,Vanuatu,02/05/21,4,0,0,1,0,0,13.023,0,0,3.256,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
VEN,South America,Venezuela,02/05/21,200067,1202,1221.286,2172,17,17.857,7035.708,42.27,42.949,76.382,0.598,0.628,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
VNM,Asia,Vietnam,02/05/21,2962,20,17,35,0,0,30.43,0.205,0.175,0.36,0,0,1.43,,,,,,,,,,,,,,,,,,506435,506435,,80797,53975,0.52,0.52,,555,22.22,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
YEM,Asia,Yemen,02/05/21,6341,16,29.143,1233,4,6.571,212.6,0.536,0.977,41.34,0.134,0.22,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
ZMB,Africa,Zambia,02/05/21,91693,23,47.857,1253,2,1,4987.664,1.251,2.603,68.157,0.109,0.054,0.73,,,,,,,,,5500,1394900,75.876,0.299,4207,0.229,0.012,85.6,tests performed,32034,32034,,5454,2714,0.17,0.17,,148,39.81,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
ZWE,Africa,Zimbabwe,02/05/21,38281,21,27.857,1570,2,1.857,2575.603,1.413,1.874,105.632,0.135,0.125,0.8,,,,,,,,,2025,488826,32.889,0.136,1716,0.115,0.018,56.9,tests performed,524199,430068,94131,3900,19169,3.53,2.89,0.63,1290,51.85,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
